country_name,iso3,year,public_expenditure_usd_per_capita,private_expenditure_usd_per_capita,expenditure_per_capita_usd,public_share_pct,source
France,FRA,2023,65.5,95.95,161.44,40.6,Estimated based on European trends
France,FRA,2024,75.87,113.73,189.6,40.0,Estimated based on European trends
Germany,DEU,2015,60.65,112.3,172.95,35.1,Estimated based on European trends
Germany,DEU,2016,67.34,112.43,179.78,37.5,Estimated based on European trends
Germany,DEU,2017,67.43,115.29,182.72,36.9,Estimated based on European trends
Germany,DEU,2018,75.76,103.74,179.5,42.2,Estimated based on European trends
Germany,DEU,2019,66.57,97.86,164.42,40.5,Estimated based on European trends
Germany,DEU,2020,57.8,96.77,154.58,37.4,Estimated based on European trends
Germany,DEU,2021,55.4,87.79,143.19,38.7,Estimated based on European trends
Germany,DEU,2022,74.1,119.36,193.46,38.3,Estimated based on European trends
Germany,DEU,2023,71.46,104.71,176.17,40.6,Estimated based on European trends
Germany,DEU,2024,79.33,104.71,184.04,43.1,Estimated based on European trends
Greece,GRC,2015,33.61,48.82,82.43,40.8,Estimated based on European trends
Greece,GRC,2016,39.14,45.05,84.19,46.5,Estimated based on European trends
Greece,GRC,2017,33.84,55.59,89.43,37.8,Estimated based on European trends
Greece,GRC,2018,36.79,55.44,92.23,39.9,Estimated based on European trends
Greece,GRC,2019,39.84,46.74,86.58,46.0,Estimated based on European trends
Greece,GRC,2020,32.41,44.85,77.27,42.0,Estimated based on European trends
Greece,GRC,2021,33.29,54.69,87.97,37.8,Estimated based on European trends
Greece,GRC,2022,37.62,52.19,89.8,41.9,Estimated based on European trends
Greece,GRC,2023,39.17,59.67,98.85,39.6,Estimated based on European trends
Greece,GRC,2024,37.13,52.0,89.13,41.7,Estimated based on European trends
Hungary,HUN,2015,27.91,46.47,74.37,37.5,Estimated based on European trends
Hungary,HUN,2016,25.94,50.9,76.84,33.8,Estimated based on European trends
Hungary,HUN,2017,32.23,44.01,76.24,42.3,Estimated based on European trends
Hungary,HUN,2018,29.79,46.33,76.12,39.1,Estimated based on European trends
Hungary,HUN,2019,29.19,51.2,80.39,36.3,Estimated based on European trends
Hungary,HUN,2020,22.59,44.47,67.07,33.7,Estimated based on European trends
Hungary,HUN,2021,24.2,47.4,71.59,33.8,Estimated based on European trends
Hungary,HUN,2022,33.92,50.54,84.46,40.2,Estimated based on European trends
Hungary,HUN,2023,30.72,57.2,87.92,34.9,Estimated based on European trends
Hungary,HUN,2024,33.19,48.2,81.39,40.8,Estimated based on European trends
Iceland,ISL,2015,76.13,109.61,185.75,41.0,Estimated based on European trends
Iceland,ISL,2016,74.3,87.01,161.32,46.1,Estimated based on European trends
Iceland,ISL,2017,87.75,97.25,185.0,47.4,Estimated based on European trends
Iceland,ISL,2018,72.68,114.56,187.24,38.8,Estimated based on European trends
Iceland,ISL,2019,93.31,121.5,214.81,43.4,Estimated based on European trends
Iceland,ISL,2020,81.62,93.6,175.22,46.6,Estimated based on European trends
Iceland,ISL,2021,70.15,91.82,161.97,43.3,Estimated based on European trends
Iceland,ISL,2022,91.34,97.03,188.38,48.5,Estimated based on European trends
Iceland,ISL,2023,85.56,117.85,203.41,42.1,Estimated based on European trends
Iceland,ISL,2024,90.22,128.29,218.51,41.3,Estimated based on European trends
Ireland,IRL,2015,50.2,86.62,136.82,36.7,Estimated based on European trends
Ireland,IRL,2016,60.27,75.89,136.16,44.3,Estimated based on European trends
Ireland,IRL,2017,57.89,89.57,147.47,39.3,Estimated based on European trends
Ireland,IRL,2018,50.1,79.54,129.64,38.6,Estimated based on European trends
Ireland,IRL,2019,57.82,78.57,136.38,42.4,Estimated based on European trends
Ireland,IRL,2020,54.38,76.54,130.92,41.5,Estimated based on European trends
Ireland,IRL,2021,49.42,66.93,116.34,42.5,Estimated based on European trends
Ireland,IRL,2022,52.64,99.23,151.87,34.7,Estimated based on European trends
Ireland,IRL,2023,71.75,101.76,173.51,41.4,Estimated based on European trends
Ireland,IRL,2024,58.14,103.35,161.49,36.0,Estimated based on European trends
Italy,ITA,2015,51.71,76.0,127.72,40.5,Estimated based on European trends
Italy,ITA,2016,45.21,68.93,114.14,39.6,Estimated based on European trends
Italy,ITA,2017,47.08,74.86,121.94,38.6,Estimated based on European trends
Italy,ITA,2018,49.97,89.27,139.24,35.9,Estimated based on European trends
Italy,ITA,2019,49.05,92.43,141.47,34.7,Estimated based on European trends
Italy,ITA,2020,45.98,77.04,123.01,37.4,Estimated based on European trends
Italy,ITA,2021,45.82,77.13,122.95,37.3,Estimated based on European trends
Italy,ITA,2022,57.41,86.88,144.29,39.8,Estimated based on European trends
Italy,ITA,2023,53.47,80.28,133.75,40.0,Estimated based on European trends
Italy,ITA,2024,63.87,99.42,163.29,39.1,Estimated based on European trends
Latvia,LVA,2015,26.61,46.99,73.6,36.2,Estimated based on European trends
Latvia,LVA,2016,34.76,52.51,87.27,39.8,Estimated based on European trends
Latvia,LVA,2017,27.53,49.11,76.64,35.9,Estimated based on European trends
Latvia,LVA,2018,35.64,55.03,90.66,39.3,Estimated based on European trends
Latvia,LVA,2019,31.52,51.36,82.88,38.0,Estimated based on European trends
Latvia,LVA,2020,31.67,40.11,71.78,44.1,Estimated based on European trends
Latvia,LVA,2021,26.13,38.36,64.49,40.5,Estimated based on European trends
Latvia,LVA,2022,34.49,52.38,86.87,39.7,Estimated based on European trends
Latvia,LVA,2023,30.91,58.41,89.32,34.6,Estimated based on European trends
Latvia,LVA,2024,32.0,46.88,78.89,40.6,Estimated based on European trends
Lithuania,LTU,2015,33.32,49.76,83.08,40.1,Estimated based on European trends
Lithuania,LTU,2016,29.27,54.02,83.28,35.1,Estimated based on European trends
Lithuania,LTU,2017,37.9,49.12,87.01,43.6,Estimated based on European trends
Lithuania,LTU,2018,38.54,51.11,89.65,43.0,Estimated based on European trends
Lithuania,LTU,2019,37.43,46.8,84.23,44.4,Estimated based on European trends
Lithuania,LTU,2020,26.83,50.34,77.17,34.8,Estimated based on European trends
Lithuania,LTU,2021,33.66,41.63,75.29,44.7,Estimated based on European trends
Lithuania,LTU,2022,37.64,60.15,97.79,38.5,Estimated based on European trends
Lithuania,LTU,2023,40.19,61.83,102.01,39.4,Estimated based on European trends
Lithuania,LTU,2024,42.11,49.97,92.08,45.7,Estimated based on European trends
Luxembourg,LUX,2015,92.73,118.63,211.36,43.9,Estimated based on European trends
Luxembourg,LUX,2016,91.3,133.69,224.98,40.6,Estimated based on European trends
Luxembourg,LUX,2017,93.61,105.66,199.27,47.0,Estimated based on European trends
Luxembourg,LUX,2018,103.79,140.68,244.48,42.5,Estimated based on European trends
Luxembourg,LUX,2019,98.12,118.04,216.16,45.4,Estimated based on European trends
Luxembourg,LUX,2020,94.85,96.78,191.62,49.5,Estimated based on European trends
Luxembourg,LUX,2021,87.03,108.25,195.27,44.6,Estimated based on European trends
Luxembourg,LUX,2022,107.79,136.05,243.84,44.2,Estimated based on European trends
Luxembourg,LUX,2023,114.79,119.15,233.94,49.1,Estimated based on European trends
Luxembourg,LUX,2024,112.91,126.67,239.58,47.1,Estimated based on European trends
Malta,MLT,2015,44.62,58.66,103.27,43.2,Estimated based on European trends
Malta,MLT,2016,39.49,63.6,103.1,38.3,Estimated based on European trends
Malta,MLT,2017,40.98,62.16,103.14,39.7,Estimated based on European trends
Malta,MLT,2018,47.99,65.27,113.26,42.4,Estimated based on European trends
Malta,MLT,2019,53.24,74.84,128.08,41.6,Estimated based on European trends
Malta,MLT,2020,44.2,53.28,97.48,45.3,Estimated based on European trends
Malta,MLT,2021,35.99,53.51,89.5,40.2,Estimated based on European trends
Malta,MLT,2022,49.4,68.4,117.79,41.9,Estimated based on European trends
Malta,MLT,2023,58.68,83.65,142.33,41.2,Estimated based on European trends
Malta,MLT,2024,48.33,76.86,125.19,38.6,Estimated based on European trends
Netherlands,NLD,2015,75.01,99.6,174.61,43.0,Estimated based on European trends
Netherlands,NLD,2016,74.1,81.14,155.24,47.7,Estimated based on European trends
Netherlands,NLD,2017,84.38,95.84,180.22,46.8,Estimated based on European trends
Netherlands,NLD,2018,65.45,95.08,160.52,40.8,Estimated based on European trends
Netherlands,NLD,2019,79.71,87.79,167.49,47.6,Estimated based on European trends
Netherlands,NLD,2020,70.31,86.26,156.57,44.9,Estimated based on European trends
Netherlands,NLD,2021,60.57,93.86,154.43,39.2,Estimated based on European trends
Netherlands,NLD,2022,69.9,96.5,166.4,42.0,Estimated based on European trends
Netherlands,NLD,2023,92.25,121.13,213.39,43.2,Estimated based on European trends
Netherlands,NLD,2024,75.41,124.14,199.55,37.8,Estimated based on European trends
Norway,NOR,2015,89.17,105.93,195.11,45.7,Estimated based on European trends
Norway,NOR,2016,76.24,117.87,194.12,39.3,Estimated based on European trends
Norway,NOR,2017,86.61,123.71,210.32,41.2,Estimated based on European trends
Norway,NOR,2018,95.67,116.44,212.11,45.1,Estimated based on European trends
Norway,NOR,2019,82.78,123.0,205.78,40.2,Estimated based on European trends
Norway,NOR,2020,77.1,99.28,176.38,43.7,Estimated based on European trends
Norway,NOR,2021,85.1,96.95,182.05,46.7,Estimated based on European trends
Norway,NOR,2022,92.7,121.59,214.29,43.3,Estimated based on European trends
Norway,NOR,2023,94.56,129.86,224.41,42.1,Estimated based on European trends
Norway,NOR,2024,88.41,143.45,231.86,38.1,Estimated based on European trends
Poland,POL,2015,36.29,54.0,90.3,40.2,Estimated based on European trends
Poland,POL,2016,30.95,55.42,86.37,35.8,Estimated based on European trends
Poland,POL,2017,28.87,47.07,75.94,38.0,Estimated based on European trends
Poland,POL,2018,36.73,58.13,94.87,38.7,Estimated based on European trends
Poland,POL,2019,33.93,58.9,92.83,36.6,Estimated based on European trends
Poland,POL,2020,28.35,42.44,70.79,40.1,Estimated based on European trends
Poland,POL,2021,34.54,53.44,87.97,39.3,Estimated based on European trends
Poland,POL,2022,33.4,63.71,97.11,34.4,Estimated based on European trends
Poland,POL,2023,42.34,55.72,98.06,43.2,Estimated based on European trends
Poland,POL,2024,36.76,58.73,95.49,38.5,Estimated based on European trends
Portugal,PRT,2015,39.78,54.46,94.24,42.2,Estimated based on European trends
Portugal,PRT,2016,40.78,58.3,99.08,41.2,Estimated based on European trends
Portugal,PRT,2017,48.69,60.24,108.93,44.7,Estimated based on European trends
Portugal,PRT,2018,40.95,57.73,98.68,41.5,Estimated based on European trends
Portugal,PRT,2019,49.58,57.98,107.56,46.1,Estimated based on European trends
Portugal,PRT,2020,34.02,64.5,98.52,34.5,Estimated based on European trends
Portugal,PRT,2021,38.96,54.34,93.3,41.8,Estimated based on European trends
Portugal,PRT,2022,48.38,70.99,119.38,40.5,Estimated based on European trends
Portugal,PRT,2023,50.44,74.01,124.45,40.5,Estimated based on European trends
Portugal,PRT,2024,51.87,72.87,124.74,41.6,Estimated based on European trends
Romania,ROU,2015,27.36,38.41,65.77,41.6,Estimated based on European trends
Romania,ROU,2016,25.71,40.25,65.96,39.0,Estimated based on European trends
Romania,ROU,2017,25.35,43.34,68.69,36.9,Estimated based on European trends
Romania,ROU,2018,31.3,43.64,74.94,41.8,Estimated based on European trends
Romania,ROU,2019,24.3,47.29,71.6,33.9,Estimated based on European trends
Romania,ROU,2020,25.99,37.77,63.76,40.8,Estimated based on European trends
Romania,ROU,2021,24.8,38.76,63.56,39.0,Estimated based on European trends
Romania,ROU,2022,32.25,51.01,83.26,38.7,Estimated based on European trends
Romania,ROU,2023,27.61,52.67,80.28,34.4,Estimated based on European trends
Romania,ROU,2024,35.04,42.52,77.57,45.2,Estimated based on European trends
Slovakia,SVK,2015,25.11,35.82,60.93,41.2,Estimated based on European trends
Slovakia,SVK,2016,22.31,42.42,64.74,34.5,Estimated based on European trends
Slovakia,SVK,2017,25.54,46.93,72.46,35.2,Estimated based on European trends
Slovakia,SVK,2018,28.81,42.22,71.03,40.6,Estimated based on European trends
Slovakia,SVK,2019,30.6,38.88,69.49,44.0,Estimated based on European trends
Slovakia,SVK,2020,22.26,38.42,60.68,36.7,Estimated based on European trends
Slovakia,SVK,2021,24.86,33.32,58.18,42.7,Estimated based on European trends
Slovakia,SVK,2022,25.2,50.21,75.41,33.4,Estimated based on European trends
Slovakia,SVK,2023,28.82,52.29,81.11,35.5,Estimated based on European trends
Slovakia,SVK,2024,26.06,52.16,78.22,33.3,Estimated based on European trends
Slovenia,SVN,2015,46.45,62.96,109.41,42.5,Estimated based on European trends
Slovenia,SVN,2016,46.7,57.93,104.63,44.6,Estimated based on European trends
Slovenia,SVN,2017,39.58,72.28,111.86,35.4,Estimated based on European trends
Slovenia,SVN,2018,47.93,56.41,104.34,45.9,Estimated based on European trends
Slovenia,SVN,2019,43.32,63.45,106.77,40.6,Estimated based on European trends
Slovenia,SVN,2020,42.79,55.94,98.73,43.3,Estimated based on European trends
Slovenia,SVN,2021,37.45,61.72,99.17,37.8,Estimated based on European trends
Slovenia,SVN,2022,47.55,74.48,122.03,39.0,Estimated based on European trends
Slovenia,SVN,2023,41.42,69.92,111.34,37.2,Estimated based on European trends
Slovenia,SVN,2024,44.86,75.5,120.36,37.3,Estimated based on European trends
Spain,ESP,2015,51.49,72.93,124.43,41.4,Estimated based on European trends
Spain,ESP,2016,43.04,63.68,106.71,40.3,Estimated based on European trends
Spain,ESP,2017,43.62,65.46,109.08,40.0,Estimated based on European trends
Spain,ESP,2018,46.49,77.0,123.49,37.6,Estimated based on European trends
Spain,ESP,2019,46.83,84.56,131.39,35.6,Estimated based on European trends
Spain,ESP,2020,48.12,59.37,107.49,44.8,Estimated based on European trends
Spain,ESP,2021,51.59,61.19,112.79,45.7,Estimated based on European trends
Spain,ESP,2022,59.56,83.57,143.13,41.6,Estimated based on European trends
Spain,ESP,2023,55.09,84.34,139.43,39.5,Estimated based on European trends
Spain,ESP,2024,54.34,79.3,133.64,40.7,Estimated based on European trends
Sweden,SWE,2015,74.27,90.7,164.97,45.0,Estimated based on European trends
Sweden,SWE,2016,79.79,87.51,167.3,47.7,Estimated based on European trends
Sweden,SWE,2017,94.02,85.14,179.15,52.5,Estimated based on European trends
Sweden,SWE,2018,86.47,99.8,186.27,46.4,Estimated based on European trends
Sweden,SWE,2019,82.62,94.71,177.33,46.6,Estimated based on European trends
Sweden,SWE,2020,70.91,83.87,154.78,45.8,Estimated based on European trends
Sweden,SWE,2021,83.64,96.17,179.81,46.5,Estimated based on European trends
Sweden,SWE,2022,90.82,117.0,207.82,43.7,Estimated based on European trends
Sweden,SWE,2023,80.11,109.88,189.99,42.2,Estimated based on European trends
Sweden,SWE,2024,105.87,95.63,201.5,52.5,Estimated based on European trends
Switzerland,CHE,2015,77.63,130.91,208.54,37.2,Estimated based on European trends
Switzerland,CHE,2016,75.34,126.19,201.53,37.4,Estimated based on European trends
Switzerland,CHE,2017,80.87,150.66,231.54,34.9,Estimated based on European trends
Switzerland,CHE,2018,73.64,126.95,200.6,36.7,Estimated based on European trends
Switzerland,CHE,2019,80.33,124.48,204.81,39.2,Estimated based on European trends
Switzerland,CHE,2020,62.25,133.59,195.85,31.8,Estimated based on European trends
Switzerland,CHE,2021,67.81,119.57,187.38,36.2,Estimated based on European trends
Switzerland,CHE,2022,79.08,160.33,239.41,33.0,Estimated based on European trends
Switzerland,CHE,2023,84.31,154.58,238.88,35.3,Estimated based on European trends
Switzerland,CHE,2024,89.01,141.9,230.92,38.5,Estimated based on European trends
United Kingdom,GBR,2015,46.25,112.78,159.03,29.1,Estimated based on European trends
United Kingdom,GBR,2016,46.21,116.43,162.65,28.4,Estimated based on European trends
United Kingdom,GBR,2017,52.05,105.45,157.5,33.0,Estimated based on European trends
United Kingdom,GBR,2018,48.59,121.16,169.75,28.6,Estimated based on European trends
United Kingdom,GBR,2019,44.6,124.72,169.31,26.3,Estimated based on European trends
United Kingdom,GBR,2020,46.44,113.98,160.43,28.9,Estimated based on European trends
United Kingdom,GBR,2021,38.7,105.7,144.4,26.8,Estimated based on European trends
United Kingdom,GBR,2022,47.1,139.13,186.23,25.3,Estimated based on European trends
United Kingdom,GBR,2023,48.6,131.38,179.98,27.0,Estimated based on European trends
United Kingdom,GBR,2024,58.64,124.37,183.01,32.0,Estimated based on European trends
