ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,time,obs_value,obs_status,obs_status.label,note_indicator,note_indicator.label,note_source,note_source.label,country_name,year,youth_unemployment_rate_pct,age_group,age_min,age_max
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,7.6,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,7.6,Age (Broad groups): Prime age (25-54) (45-54),45,54
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,8.4,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,8.4,Age (Broad groups): Prime age (25-54) (45-54),45,54
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,9.3,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,9.3,Age (Broad groups): Older workers (55-64),55,64
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,10.2,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,10.2,Age (Broad groups): Older workers (55-64),55,64
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,8.4,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,8.4,Age (Broad groups): Older workers (55-64),55,64
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_Total,Age (Aggregate bands): Total,2015,10.6,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,10.6,Age (Aggregate bands): Total,15,64
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_Total,Age (Aggregate bands): Total,2015,10.1,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,10.1,Age (Aggregate bands): Total,15,64
ESP,Spain,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_Total,Age (Aggregate bands): Total,2015,11.1,,,,,EUROSTAT_DERIVED_Spain_2015,Eurostat Labour Force Survey - Derived estimates,Spain,2015,11.1,Age (Aggregate bands): Total,15,64
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_15_24,Age (Youth bands): Youth (15-24),2015,21.1,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,21.1,Age (Youth bands): Youth (15-24),15,24
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_15_24,Age (Youth bands): Youth (15-24),2015,20.0,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,20.0,Age (Youth bands): Youth (15-24),15,24
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_15_24,Age (Youth bands): Youth (15-24),2015,22.1,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,22.1,Age (Youth bands): Youth (15-24),15,24
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,10.3,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,10.3,Age (Broad groups): Prime age (25-54) (25-34),25,34
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,9.8,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,9.8,Age (Broad groups): Prime age (25-54) (25-34),25,34
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,10.8,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,10.8,Age (Broad groups): Prime age (25-54) (25-34),25,34
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,6.3,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,6.3,Age (Broad groups): Prime age (25-54) (35-44),35,44
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,5.9,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,5.9,Age (Broad groups): Prime age (25-54) (35-44),35,44
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,6.6,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,6.6,Age (Broad groups): Prime age (25-54) (35-44),35,44
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,5.7,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,5.7,Age (Broad groups): Prime age (25-54) (45-54),45,54
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,5.4,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,5.4,Age (Broad groups): Prime age (25-54) (45-54),45,54
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,6.0,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,6.0,Age (Broad groups): Prime age (25-54) (45-54),45,54
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,4.5,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,4.5,Age (Broad groups): Older workers (55-64),55,64
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,5.0,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,5.0,Age (Broad groups): Older workers (55-64),55,64
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,4.1,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,4.1,Age (Broad groups): Older workers (55-64),55,64
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_Total,Age (Aggregate bands): Total,2015,7.2,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,7.2,Age (Aggregate bands): Total,15,64
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_Total,Age (Aggregate bands): Total,2015,6.8,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,6.8,Age (Aggregate bands): Total,15,64
ITA,Italy,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_Total,Age (Aggregate bands): Total,2015,7.5,,,,,EUROSTAT_DERIVED_Italy_2015,Eurostat Labour Force Survey - Derived estimates,Italy,2015,7.5,Age (Aggregate bands): Total,15,64
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_15_24,Age (Youth bands): Youth (15-24),2015,19.6,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,19.6,Age (Youth bands): Youth (15-24),15,24
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_15_24,Age (Youth bands): Youth (15-24),2015,18.6,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,18.6,Age (Youth bands): Youth (15-24),15,24
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_15_24,Age (Youth bands): Youth (15-24),2015,20.6,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,20.6,Age (Youth bands): Youth (15-24),15,24
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,13.1,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,13.1,Age (Broad groups): Prime age (25-54) (25-34),25,34
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,12.4,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,12.4,Age (Broad groups): Prime age (25-54) (25-34),25,34
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,13.7,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,13.7,Age (Broad groups): Prime age (25-54) (25-34),25,34
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,9.3,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,9.3,Age (Broad groups): Prime age (25-54) (35-44),35,44
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,8.8,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,8.8,Age (Broad groups): Prime age (25-54) (35-44),35,44
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,9.8,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,9.8,Age (Broad groups): Prime age (25-54) (35-44),35,44
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,9.0,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,9.0,Age (Broad groups): Prime age (25-54) (45-54),45,54
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,8.6,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,8.6,Age (Broad groups): Prime age (25-54) (45-54),45,54
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,9.5,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,9.5,Age (Broad groups): Prime age (25-54) (45-54),45,54
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,7.7,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,7.7,Age (Broad groups): Older workers (55-64),55,64
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,8.5,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,8.5,Age (Broad groups): Older workers (55-64),55,64
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,7.0,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,7.0,Age (Broad groups): Older workers (55-64),55,64
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_Total,Age (Aggregate bands): Total,2015,10.0,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,10.0,Age (Aggregate bands): Total,15,64
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_Total,Age (Aggregate bands): Total,2015,9.5,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,9.5,Age (Aggregate bands): Total,15,64
GRC,Greece,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_Total,Age (Aggregate bands): Total,2015,10.5,,,,,EUROSTAT_DERIVED_Greece_2015,Eurostat Labour Force Survey - Derived estimates,Greece,2015,10.5,Age (Aggregate bands): Total,15,64
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_15_24,Age (Youth bands): Youth (15-24),2015,15.7,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,15.7,Age (Youth bands): Youth (15-24),15,24
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_15_24,Age (Youth bands): Youth (15-24),2015,14.9,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,14.9,Age (Youth bands): Youth (15-24),15,24
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_15_24,Age (Youth bands): Youth (15-24),2015,16.5,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,16.5,Age (Youth bands): Youth (15-24),15,24
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,8.2,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,8.2,Age (Broad groups): Prime age (25-54) (25-34),25,34
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,7.8,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,7.8,Age (Broad groups): Prime age (25-54) (25-34),25,34
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,8.6,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,8.6,Age (Broad groups): Prime age (25-54) (25-34),25,34
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,6.3,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,6.3,Age (Broad groups): Prime age (25-54) (35-44),35,44
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,5.9,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,5.9,Age (Broad groups): Prime age (25-54) (35-44),35,44
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_35_44,Age (Broad groups): Prime age (25-54) (35-44),2015,6.6,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,6.6,Age (Broad groups): Prime age (25-54) (35-44),35,44
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,5.7,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,5.7,Age (Broad groups): Prime age (25-54) (45-54),45,54
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,5.4,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,5.4,Age (Broad groups): Prime age (25-54) (45-54),45,54
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_45_54,Age (Broad groups): Prime age (25-54) (45-54),2015,6.0,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,6.0,Age (Broad groups): Prime age (25-54) (45-54),45,54
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,5.3,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,5.3,Age (Broad groups): Older workers (55-64),55,64
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,5.9,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,5.9,Age (Broad groups): Older workers (55-64),55,64
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_55_64,Age (Broad groups): Older workers (55-64),2015,4.8,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,4.8,Age (Broad groups): Older workers (55-64),55,64
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_Total,Age (Aggregate bands): Total,2015,6.8,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,6.8,Age (Aggregate bands): Total,15,64
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_Total,Age (Aggregate bands): Total,2015,6.5,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,6.5,Age (Aggregate bands): Total,15,64
FRA,France,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_Total,Age (Aggregate bands): Total,2015,7.1,,,,,EUROSTAT_DERIVED_France_2015,Eurostat Labour Force Survey - Derived estimates,France,2015,7.1,Age (Aggregate bands): Total,15,64
FIN,Finland,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_15_24,Age (Youth bands): Youth (15-24),2015,15.5,,,,,EUROSTAT_DERIVED_Finland_2015,Eurostat Labour Force Survey - Derived estimates,Finland,2015,15.5,Age (Youth bands): Youth (15-24),15,24
FIN,Finland,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_15_24,Age (Youth bands): Youth (15-24),2015,14.7,,,,,EUROSTAT_DERIVED_Finland_2015,Eurostat Labour Force Survey - Derived estimates,Finland,2015,14.7,Age (Youth bands): Youth (15-24),15,24
FIN,Finland,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),F,Sex: Female,AGE_15_24,Age (Youth bands): Youth (15-24),2015,16.2,,,,,EUROSTAT_DERIVED_Finland_2015,Eurostat Labour Force Survey - Derived estimates,Finland,2015,16.2,Age (Youth bands): Youth (15-24),15,24
FIN,Finland,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),T,Sex: Total,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,6.3,,,,,EUROSTAT_DERIVED_Finland_2015,Eurostat Labour Force Survey - Derived estimates,Finland,2015,6.3,Age (Broad groups): Prime age (25-54) (25-34),25,34
FIN,Finland,BA,Labour force survey,UNE_2EAP_SEX_AGE_RT_A,Unemployment rate by sex and age (%),M,Sex: Male,AGE_25_34,Age (Broad groups): Prime age (25-54) (25-34),2015,6.0,,,,,EUROSTAT_DERIVED_Finland_2015,Eurostat Labour Force Survey - Derived estimates,Finland,2015,6.0,Age (Broad groups): Prime age (25-54) (25-34),25,34
