country_name,iso3,year,fifa_rank,fifa_points,fifa_points
Sweden,SWE,2016-06-01,12,1533,1533
Serbia,SRB,2016-06-01,13,1503,1503
Ukraine,UKR,2016-06-01,14,1500,1500
Poland,POL,2016-06-01,15,1484,1484
Czech Republic,CZE,2016-06-01,16,1461,1461
Austria,AUT,2016-06-01,17,1455,1455
Romania,ROU,2016-06-01,18,1416,1416
Ireland,IRL,2016-06-01,19,1392,1392
Slovakia,SVK,2016-06-01,20,1365,1365
Norway,NOR,2016-06-01,21,1358,1358
Hungary,HUN,2016-06-01,22,1349,1349
Slovenia,SVN,2016-06-01,23,1313,1313
Finland,FIN,2016-06-01,24,1279,1279
Bulgaria,BGR,2016-06-01,25,1222,1222
Greece,GRC,2016-06-01,26,1203,1203
Belgium,BEL,2016-09-01,1,1809,1809
France,FRA,2016-09-01,2,1781,1781
Spain,ESP,2016-09-01,4,1757,1757
Portugal,PRT,2016-09-01,5,1751,1751
Italy,ITA,2016-09-01,6,1732,1732
Netherlands,NLD,2016-09-01,7,1723,1723
Croatia,HRV,2016-09-01,8,1665,1665
Germany,DEU,2016-09-01,9,1611,1611
Switzerland,CHE,2016-09-01,10,1601,1601
Denmark,DNK,2016-09-01,11,1528,1528
Serbia,SRB,2016-09-01,12,1516,1516
Austria,AUT,2016-09-01,13,1515,1515
Sweden,SWE,2016-09-01,14,1487,1487
Poland,POL,2016-09-01,15,1459,1459
Norway,NOR,2016-09-01,16,1453,1453
Czech Republic,CZE,2016-09-01,17,1450,1450
Ukraine,UKR,2016-09-01,18,1397,1397
Slovakia,SVK,2016-09-01,19,1376,1376
Ireland,IRL,2016-09-01,20,1333,1333
Romania,ROU,2016-09-01,21,1327,1327
Hungary,HUN,2016-09-01,22,1322,1322
Greece,GRC,2016-09-01,23,1288,1288
Finland,FIN,2016-09-01,24,1274,1274
Slovenia,SVN,2016-09-01,25,1259,1259
Bulgaria,BGR,2016-09-01,26,1242,1242
Belgium,BEL,2016-12-01,1,1804,1804
Spain,ESP,2016-12-01,2,1771,1771
France,FRA,2016-12-01,3,1705,1705
Croatia,HRV,2016-12-01,4,1684,1684
Italy,ITA,2016-12-01,6,1650,1650
Portugal,PRT,2016-12-01,7,1637,1637
Netherlands,NLD,2016-12-01,8,1626,1626
Germany,DEU,2016-12-01,9,1598,1598
Denmark,DNK,2016-12-01,10,1589,1589
Switzerland,CHE,2016-12-01,11,1554,1554
Sweden,SWE,2016-12-01,12,1540,1540
Austria,AUT,2016-12-01,13,1536,1536
Poland,POL,2016-12-01,14,1462,1462
Norway,NOR,2016-12-01,15,1419,1419
Romania,ROU,2016-12-01,16,1418,1418
Serbia,SRB,2016-12-01,17,1414,1414
Ukraine,UKR,2016-12-01,18,1408,1408
Czech Republic,CZE,2016-12-01,19,1389,1389
Hungary,HUN,2016-12-01,20,1384,1384
Ireland,IRL,2016-12-01,21,1362,1362
Slovenia,SVN,2016-12-01,22,1323,1323
Slovakia,SVK,2016-12-01,23,1307,1307
Finland,FIN,2016-12-01,24,1287,1287
Greece,GRC,2016-12-01,25,1265,1265
Bulgaria,BGR,2016-12-01,26,1253,1253
Belgium,BEL,2017-03-01,1,1810,1810
France,FRA,2017-03-01,2,1728,1728
Italy,ITA,2017-03-01,3,1691,1691
Croatia,HRV,2017-03-01,4,1687,1687
Netherlands,NLD,2017-03-01,5,1669,1669
Spain,ESP,2017-03-01,6,1660,1660
Portugal,PRT,2017-03-01,8,1630,1630
Austria,AUT,2017-03-01,9,1565,1565
Germany,DEU,2017-03-01,10,1532,1532
Sweden,SWE,2017-03-01,11,1531,1531
Serbia,SRB,2017-03-01,12,1525,1525
Denmark,DNK,2017-03-01,13,1520,1520
Switzerland,CHE,2017-03-01,14,1499,1499
Hungary,HUN,2017-03-01,15,1473,1473
Ukraine,UKR,2017-03-01,16,1463,1463
Poland,POL,2017-03-01,17,1414,1414
Ireland,IRL,2017-03-01,18,1406,1406
Slovakia,SVK,2017-03-01,19,1392,1392
Czech Republic,CZE,2017-03-01,20,1364,1364
Romania,ROU,2017-03-01,21,1354,1354
Slovenia,SVN,2017-03-01,22,1354,1354
Norway,NOR,2017-03-01,23,1338,1338
Finland,FIN,2017-03-01,24,1249,1249
Bulgaria,BGR,2017-03-01,25,1222,1222
Greece,GRC,2017-03-01,26,1205,1205
France,FRA,2017-06-01,1,1787,1787
Italy,ITA,2017-06-01,2,1785,1785
Portugal,PRT,2017-06-01,4,1736,1736
Croatia,HRV,2017-06-01,5,1719,1719
Netherlands,NLD,2017-06-01,6,1702,1702
Belgium,BEL,2017-06-01,7,1698,1698
Germany,DEU,2017-06-01,8,1682,1682
Spain,ESP,2017-06-01,9,1653,1653
Denmark,DNK,2017-06-01,10,1565,1565
Switzerland,CHE,2017-06-01,11,1551,1551
Austria,AUT,2017-06-01,12,1538,1538
Czech Republic,CZE,2017-06-01,13,1468,1468
Ukraine,UKR,2017-06-01,14,1460,1460
Poland,POL,2017-06-01,15,1447,1447
Sweden,SWE,2017-06-01,16,1439,1439
Hungary,HUN,2017-06-01,17,1422,1422
Serbia,SRB,2017-06-01,18,1405,1405
Romania,ROU,2017-06-01,19,1392,1392
Norway,NOR,2017-06-01,20,1390,1390
Finland,FIN,2017-06-01,21,1314,1314
Slovenia,SVN,2017-06-01,22,1280,1280
Ireland,IRL,2017-06-01,23,1267,1267
Bulgaria,BGR,2017-06-01,24,1236,1236
Slovakia,SVK,2017-06-01,25,1232,1232
Greece,GRC,2017-06-01,26,1194,1194
France,FRA,2017-09-01,1,1820,1820
Spain,ESP,2017-09-01,2,1762,1762
Italy,ITA,2017-09-01,4,1702,1702
Netherlands,NLD,2017-09-01,5,1697,1697
Belgium,BEL,2017-09-01,6,1689,1689
Germany,DEU,2017-09-01,7,1635,1635
Portugal,PRT,2017-09-01,8,1632,1632
Switzerland,CHE,2017-09-01,9,1571,1571
Croatia,HRV,2017-09-01,10,1565,1565
Denmark,DNK,2017-09-01,11,1545,1545
Ukraine,UKR,2017-09-01,12,1538,1538
Austria,AUT,2017-09-01,13,1534,1534
Sweden,SWE,2017-09-01,14,1524,1524
Czech Republic,CZE,2017-09-01,15,1448,1448
Poland,POL,2017-09-01,16,1437,1437
Hungary,HUN,2017-09-01,17,1415,1415
Serbia,SRB,2017-09-01,18,1390,1390
Norway,NOR,2017-09-01,19,1382,1382
Finland,FIN,2017-09-01,20,1368,1368
Ireland,IRL,2017-09-01,21,1335,1335
Bulgaria,BGR,2017-09-01,22,1321,1321
Romania,ROU,2017-09-01,23,1301,1301
Slovakia,SVK,2017-09-01,24,1251,1251
Greece,GRC,2017-09-01,25,1245,1245
Slovenia,SVN,2017-09-01,26,1234,1234
France,FRA,2017-12-01,1,1792,1792
Netherlands,NLD,2017-12-01,2,1757,1757
Portugal,PRT,2017-12-01,3,1747,1747
Spain,ESP,2017-12-01,4,1726,1726
Italy,ITA,2017-12-01,6,1695,1695
Croatia,HRV,2017-12-01,7,1684,1684
Belgium,BEL,2017-12-01,8,1671,1671
Germany,DEU,2017-12-01,9,1594,1594
Switzerland,CHE,2017-12-01,10,1591,1591
Sweden,SWE,2017-12-01,11,1553,1553
Denmark,DNK,2017-12-01,12,1525,1525
Austria,AUT,2017-12-01,13,1495,1495
Czech Republic,CZE,2017-12-01,14,1490,1490
Serbia,SRB,2017-12-01,15,1451,1451
Ukraine,UKR,2017-12-01,16,1445,1445
Hungary,HUN,2017-12-01,17,1419,1419
Poland,POL,2017-12-01,18,1403,1403
Norway,NOR,2017-12-01,19,1373,1373
Slovenia,SVN,2017-12-01,20,1358,1358
Finland,FIN,2017-12-01,21,1357,1357
Romania,ROU,2017-12-01,22,1324,1324
Slovakia,SVK,2017-12-01,23,1311,1311
Ireland,IRL,2017-12-01,24,1305,1305
Bulgaria,BGR,2017-12-01,25,1298,1298
Greece,GRC,2017-12-01,26,1252,1252
Belgium,BEL,2018-03-01,2,1802,1802
Italy,ITA,2018-03-01,3,1749,1749
France,FRA,2018-03-01,4,1698,1698
Germany,DEU,2018-03-01,5,1685,1685
Croatia,HRV,2018-03-01,6,1683,1683
Spain,ESP,2018-03-01,7,1638,1638
Netherlands,NLD,2018-03-01,8,1626,1626
Portugal,PRT,2018-03-01,9,1604,1604
Switzerland,CHE,2018-03-01,10,1560,1560
Denmark,DNK,2018-03-01,11,1536,1536
Ukraine,UKR,2018-03-01,12,1500,1500
Czech Republic,CZE,2018-03-01,13,1493,1493
Austria,AUT,2018-03-01,14,1478,1478
Poland,POL,2018-03-01,15,1475,1475
Sweden,SWE,2018-03-01,16,1469,1469
Serbia,SRB,2018-03-01,17,1402,1402
Hungary,HUN,2018-03-01,18,1343,1343
Greece,GRC,2018-03-01,19,1337,1337
Norway,NOR,2018-03-01,20,1310,1310
Romania,ROU,2018-03-01,21,1301,1301
Ireland,IRL,2018-03-01,22,1286,1286
Slovakia,SVK,2018-03-01,23,1263,1263
Finland,FIN,2018-03-01,24,1263,1263
Slovenia,SVN,2018-03-01,25,1213,1213
Bulgaria,BGR,2018-03-01,26,1180,1180
Belgium,BEL,2018-06-01,1,1798,1798
France,FRA,2018-06-01,2,1749,1749
Portugal,PRT,2018-06-01,3,1719,1719
Netherlands,NLD,2018-06-01,4,1706,1706
Italy,ITA,2018-06-01,6,1693,1693
Germany,DEU,2018-06-01,7,1680,1680
Spain,ESP,2018-06-01,8,1641,1641
Denmark,DNK,2018-06-01,9,1640,1640
Croatia,HRV,2018-06-01,10,1621,1621
Sweden,SWE,2018-06-01,11,1514,1514
Switzerland,CHE,2018-06-01,12,1498,1498
Austria,AUT,2018-06-01,13,1445,1445
Hungary,HUN,2018-06-01,14,1415,1415
Ukraine,UKR,2018-06-01,15,1412,1412
Poland,POL,2018-06-01,16,1396,1396
Serbia,SRB,2018-06-01,17,1396,1396
Norway,NOR,2018-06-01,18,1393,1393
Romania,ROU,2018-06-01,19,1386,1386
Czech Republic,CZE,2018-06-01,20,1359,1359
Slovakia,SVK,2018-06-01,21,1338,1338
Greece,GRC,2018-06-01,22,1329,1329
Finland,FIN,2018-06-01,23,1318,1318
Slovenia,SVN,2018-06-01,24,1284,1284
Bulgaria,BGR,2018-06-01,25,1273,1273
Ireland,IRL,2018-06-01,26,1271,1271
France,FRA,2018-09-01,2,1772,1772
Portugal,PRT,2018-09-01,3,1753,1753
Belgium,BEL,2018-09-01,4,1750,1750
Netherlands,NLD,2018-09-01,5,1745,1745
Croatia,HRV,2018-09-01,6,1721,1721
Italy,ITA,2018-09-01,7,1690,1690
Spain,ESP,2018-09-01,8,1689,1689
Denmark,DNK,2018-09-01,9,1543,1543
Germany,DEU,2018-09-01,10,1536,1536
Switzerland,CHE,2018-09-01,11,1500,1500
Serbia,SRB,2018-09-01,12,1475,1475
Poland,POL,2018-09-01,13,1472,1472
Hungary,HUN,2018-09-01,14,1463,1463
Austria,AUT,2018-09-01,15,1441,1441
Sweden,SWE,2018-09-01,16,1437,1437
Ukraine,UKR,2018-09-01,17,1407,1407
Romania,ROU,2018-09-01,18,1400,1400
Czech Republic,CZE,2018-09-01,19,1383,1383
Finland,FIN,2018-09-01,20,1360,1360
Slovakia,SVK,2018-09-01,21,1320,1320
Norway,NOR,2018-09-01,22,1309,1309
Greece,GRC,2018-09-01,23,1270,1270
Slovenia,SVN,2018-09-01,24,1267,1267
Ireland,IRL,2018-09-01,25,1255,1255
Bulgaria,BGR,2018-09-01,26,1198,1198
France,FRA,2018-12-01,1,1815,1815
Belgium,BEL,2018-12-01,3,1803,1803
Netherlands,NLD,2018-12-01,4,1705,1705
Spain,ESP,2018-12-01,5,1653,1653
Denmark,DNK,2018-12-01,6,1641,1641
Italy,ITA,2018-12-01,7,1637,1637
Croatia,HRV,2018-12-01,8,1627,1627
Germany,DEU,2018-12-01,9,1621,1621
Portugal,PRT,2018-12-01,10,1603,1603
Switzerland,CHE,2018-12-01,11,1569,1569
Serbia,SRB,2018-12-01,12,1522,1522
Poland,POL,2018-12-01,13,1511,1511
Sweden,SWE,2018-12-01,14,1448,1448
Austria,AUT,2018-12-01,15,1437,1437
Czech Republic,CZE,2018-12-01,16,1432,1432
Ukraine,UKR,2018-12-01,17,1406,1406
Romania,ROU,2018-12-01,18,1394,1394
Slovakia,SVK,2018-12-01,19,1392,1392
Ireland,IRL,2018-12-01,20,1383,1383
Hungary,HUN,2018-12-01,21,1378,1378
Norway,NOR,2018-12-01,22,1368,1368
Slovenia,SVN,2018-12-01,23,1342,1342
Bulgaria,BGR,2018-12-01,24,1278,1278
Greece,GRC,2018-12-01,25,1260,1260
Finland,FIN,2018-12-01,26,1226,1226
France,FRA,2019-03-01,1,1797,1797
Belgium,BEL,2019-03-01,2,1775,1775
Spain,ESP,2019-03-01,4,1717,1717
Portugal,PRT,2019-03-01,5,1710,1710
Italy,ITA,2019-03-01,6,1671,1671
Croatia,HRV,2019-03-01,7,1669,1669
Netherlands,NLD,2019-03-01,8,1643,1643
Switzerland,CHE,2019-03-01,9,1625,1625
Germany,DEU,2019-03-01,10,1622,1622
Denmark,DNK,2019-03-01,11,1592,1592
Sweden,SWE,2019-03-01,12,1541,1541
Austria,AUT,2019-03-01,13,1482,1482
Poland,POL,2019-03-01,14,1461,1461
Czech Republic,CZE,2019-03-01,15,1432,1432
Ukraine,UKR,2019-03-01,16,1419,1419
Serbia,SRB,2019-03-01,17,1411,1411
Ireland,IRL,2019-03-01,18,1383,1383
Hungary,HUN,2019-03-01,19,1351,1351
Greece,GRC,2019-03-01,20,1339,1339
Norway,NOR,2019-03-01,21,1337,1337
Finland,FIN,2019-03-01,22,1333,1333
Slovenia,SVN,2019-03-01,23,1328,1328
Slovakia,SVK,2019-03-01,24,1311,1311
Romania,ROU,2019-03-01,25,1299,1299
Bulgaria,BGR,2019-03-01,26,1172,1172
France,FRA,2019-06-01,1,1791,1791
Spain,ESP,2019-06-01,3,1749,1749
Portugal,PRT,2019-06-01,4,1726,1726
Belgium,BEL,2019-06-01,5,1720,1720
Netherlands,NLD,2019-06-01,6,1717,1717
Italy,ITA,2019-06-01,7,1712,1712
Croatia,HRV,2019-06-01,8,1629,1629
Denmark,DNK,2019-06-01,9,1602,1602
Germany,DEU,2019-06-01,10,1580,1580
Switzerland,CHE,2019-06-01,11,1514,1514
Austria,AUT,2019-06-01,12,1487,1487
Poland,POL,2019-06-01,13,1487,1487
Sweden,SWE,2019-06-01,14,1458,1458
Ukraine,UKR,2019-06-01,15,1444,1444
Czech Republic,CZE,2019-06-01,16,1432,1432
Serbia,SRB,2019-06-01,17,1381,1381
Ireland,IRL,2019-06-01,18,1362,1362
Romania,ROU,2019-06-01,19,1361,1361
Slovakia,SVK,2019-06-01,20,1352,1352
Norway,NOR,2019-06-01,21,1336,1336
Hungary,HUN,2019-06-01,22,1331,1331
Greece,GRC,2019-06-01,23,1294,1294
Bulgaria,BGR,2019-06-01,24,1240,1240
Finland,FIN,2019-06-01,25,1229,1229
Slovenia,SVN,2019-06-01,26,1207,1207
France,FRA,2019-09-01,1,1810,1810
Netherlands,NLD,2019-09-01,3,1740,1740
Belgium,BEL,2019-09-01,4,1734,1734
Spain,ESP,2019-09-01,5,1696,1696
Denmark,DNK,2019-09-01,6,1655,1655
Italy,ITA,2019-09-01,7,1654,1654
Portugal,PRT,2019-09-01,8,1609,1609
Germany,DEU,2019-09-01,9,1593,1593
Croatia,HRV,2019-09-01,10,1582,1582
Poland,POL,2019-09-01,11,1498,1498
Switzerland,CHE,2019-09-01,12,1494,1494
Ukraine,UKR,2019-09-01,13,1488,1488
Austria,AUT,2019-09-01,14,1462,1462
Serbia,SRB,2019-09-01,15,1447,1447
Sweden,SWE,2019-09-01,16,1408,1408
Hungary,HUN,2019-09-01,17,1393,1393
Norway,NOR,2019-09-01,18,1384,1384
Czech Republic,CZE,2019-09-01,19,1359,1359
Ireland,IRL,2019-09-01,20,1348,1348
Romania,ROU,2019-09-01,21,1340,1340
Finland,FIN,2019-09-01,22,1311,1311
Slovakia,SVK,2019-09-01,23,1301,1301
Greece,GRC,2019-09-01,24,1297,1297
Slovenia,SVN,2019-09-01,25,1271,1271
Bulgaria,BGR,2019-09-01,26,1184,1184
France,FRA,2019-12-01,2,1754,1754
Spain,ESP,2019-12-01,3,1749,1749
Croatia,HRV,2019-12-01,4,1719,1719
Italy,ITA,2019-12-01,5,1703,1703
Belgium,BEL,2019-12-01,6,1702,1702
Switzerland,CHE,2019-12-01,7,1629,1629
Germany,DEU,2019-12-01,8,1622,1622
Netherlands,NLD,2019-12-01,9,1606,1606
Portugal,PRT,2019-12-01,10,1606,1606
Denmark,DNK,2019-12-01,11,1601,1601
Serbia,SRB,2019-12-01,12,1521,1521
Austria,AUT,2019-12-01,13,1519,1519
Czech Republic,CZE,2019-12-01,14,1470,1470
Sweden,SWE,2019-12-01,15,1452,1452
Poland,POL,2019-12-01,16,1439,1439
Ukraine,UKR,2019-12-01,17,1438,1438
Romania,ROU,2019-12-01,18,1391,1391
Norway,NOR,2019-12-01,19,1390,1390
Hungary,HUN,2019-12-01,20,1385,1385
Slovakia,SVK,2019-12-01,21,1372,1372
Greece,GRC,2019-12-01,22,1306,1306
Ireland,IRL,2019-12-01,23,1305,1305
Bulgaria,BGR,2019-12-01,24,1289,1289
Slovenia,SVN,2019-12-01,25,1279,1279
Finland,FIN,2019-12-01,26,1249,1249
Belgium,BEL,2020-03-01,1,1765,1765
France,FRA,2020-03-01,2,1758,1758
Italy,ITA,2020-03-01,3,1748,1748
Spain,ESP,2020-03-01,5,1667,1667
Croatia,HRV,2020-03-01,6,1653,1653
Netherlands,NLD,2020-03-01,7,1632,1632
Portugal,PRT,2020-03-01,8,1629,1629
Germany,DEU,2020-03-01,9,1571,1571
Austria,AUT,2020-03-01,10,1546,1546
Ukraine,UKR,2020-03-01,11,1545,1545
Denmark,DNK,2020-03-01,12,1527,1527
Switzerland,CHE,2020-03-01,13,1515,1515
Czech Republic,CZE,2020-03-01,14,1487,1487
Serbia,SRB,2020-03-01,15,1484,1484
Sweden,SWE,2020-03-01,16,1451,1451
Romania,ROU,2020-03-01,17,1436,1436
Poland,POL,2020-03-01,18,1419,1419
Norway,NOR,2020-03-01,19,1416,1416
Ireland,IRL,2020-03-01,20,1334,1334
Greece,GRC,2020-03-01,21,1330,1330
Hungary,HUN,2020-03-01,22,1329,1329
Slovenia,SVN,2020-03-01,23,1321,1321
Slovakia,SVK,2020-03-01,24,1308,1308
Bulgaria,BGR,2020-03-01,25,1265,1265
Finland,FIN,2020-03-01,26,1249,1249
Italy,ITA,2020-06-01,1,1780,1780
France,FRA,2020-06-01,2,1742,1742
Belgium,BEL,2020-06-01,3,1734,1734
Netherlands,NLD,2020-06-01,4,1726,1726
Spain,ESP,2020-06-01,5,1698,1698
Denmark,DNK,2020-06-01,7,1659,1659
Germany,DEU,2020-06-01,8,1646,1646
Portugal,PRT,2020-06-01,9,1603,1603
Croatia,HRV,2020-06-01,10,1577,1577
Switzerland,CHE,2020-06-01,11,1556,1556
Ukraine,UKR,2020-06-01,12,1546,1546
Austria,AUT,2020-06-01,13,1528,1528
Serbia,SRB,2020-06-01,14,1516,1516
Sweden,SWE,2020-06-01,15,1496,1496
Poland,POL,2020-06-01,16,1479,1479
Hungary,HUN,2020-06-01,17,1410,1410
Ireland,IRL,2020-06-01,18,1386,1386
Czech Republic,CZE,2020-06-01,19,1356,1356
Finland,FIN,2020-06-01,20,1337,1337
Norway,NOR,2020-06-01,21,1333,1333
Romania,ROU,2020-06-01,22,1308,1308
Slovenia,SVN,2020-06-01,23,1284,1284
Slovakia,SVK,2020-06-01,24,1282,1282
Greece,GRC,2020-06-01,25,1228,1228
Bulgaria,BGR,2020-06-01,26,1198,1198
France,FRA,2020-09-01,1,1815,1815
Italy,ITA,2020-09-01,3,1782,1782
Belgium,BEL,2020-09-01,4,1781,1781
Portugal,PRT,2020-09-01,5,1732,1732
Spain,ESP,2020-09-01,6,1719,1719
Netherlands,NLD,2020-09-01,7,1612,1612
Croatia,HRV,2020-09-01,8,1573,1573
Germany,DEU,2020-09-01,9,1566,1566
Austria,AUT,2020-09-01,10,1546,1546
Ukraine,UKR,2020-09-01,11,1526,1526
Switzerland,CHE,2020-09-01,12,1521,1521
Sweden,SWE,2020-09-01,13,1515,1515
Denmark,DNK,2020-09-01,14,1511,1511
Serbia,SRB,2020-09-01,15,1453,1453
Hungary,HUN,2020-09-01,16,1452,1452
Norway,NOR,2020-09-01,17,1441,1441
Romania,ROU,2020-09-01,18,1432,1432
Czech Republic,CZE,2020-09-01,19,1396,1396
Poland,POL,2020-09-01,20,1391,1391
Finland,FIN,2020-09-01,21,1334,1334
Slovakia,SVK,2020-09-01,22,1308,1308
Ireland,IRL,2020-09-01,23,1285,1285
Slovenia,SVN,2020-09-01,24,1269,1269
Bulgaria,BGR,2020-09-01,25,1264,1264
Greece,GRC,2020-09-01,26,1261,1261
Belgium,BEL,2020-12-01,1,1803,1803
France,FRA,2020-12-01,2,1801,1801
Italy,ITA,2020-12-01,4,1695,1695
Croatia,HRV,2020-12-01,5,1686,1686
Germany,DEU,2020-12-01,6,1669,1669
Spain,ESP,2020-12-01,7,1662,1662
Netherlands,NLD,2020-12-01,8,1624,1624
Portugal,PRT,2020-12-01,9,1623,1623
Denmark,DNK,2020-12-01,10,1580,1580
Austria,AUT,2020-12-01,11,1554,1554
