iso3,country_name,indicator,year,human_development_index
SWE,Sweden,hdi,2019,0.947
UKR,Ukraine,hdi,2019,0.786
ALB,Albania,hdi,2020,0.794
AUT,Austria,hdi,2020,0.913
BEL,Belgium,hdi,2020,0.928
BGR,Bulgaria,hdi,2020,0.802
BIH,Bosnia and Herzegovina,hdi,2020,0.781
CHE,Switzerland,hdi,2020,0.956
CYP,Cyprus,hdi,2020,0.894
CZE,Czechia,hdi,2020,0.892
DEU,Germany,hdi,2020,0.944
DNK,Denmark,hdi,2020,0.947
ESP,Spain,hdi,2020,0.899
EST,Estonia,hdi,2020,0.892
FIN,Finland,hdi,2020,0.938
FRA,France,hdi,2020,0.898
GBR,United Kingdom,hdi,2020,0.924
GRC,Greece,hdi,2020,0.886
HRV,Croatia,hdi,2020,0.855
HUN,Hungary,hdi,2020,0.849
IRL,Ireland,hdi,2020,0.943
ISL,Iceland,hdi,2020,0.957
ITA,Italy,hdi,2020,0.889
LTU,Lithuania,hdi,2020,0.879
LUX,Luxembourg,hdi,2020,0.924
LVA,Latvia,hdi,2020,0.871
MKD,North Macedonia,hdi,2020,0.774
MLT,Malta,hdi,2020,0.911
MNE,Montenegro,hdi,2020,0.826
NLD,Netherlands,hdi,2020,0.939
NOR,Norway,hdi,2020,0.959
POL,Poland,hdi,2020,0.876
PRT,Portugal,hdi,2020,0.863
ROU,Romania,hdi,2020,0.824
SRB,Serbia,hdi,2020,0.804
SVK,Slovakia,hdi,2020,0.857
SVN,Slovenia,hdi,2020,0.913
SWE,Sweden,hdi,2020,0.942
UKR,Ukraine,hdi,2020,0.775
ALB,Albania,hdi,2021,0.796
AUT,Austria,hdi,2021,0.916
BEL,Belgium,hdi,2021,0.937
BGR,Bulgaria,hdi,2021,0.795
BIH,Bosnia and Herzegovina,hdi,2021,0.78
CHE,Switzerland,hdi,2021,0.962
CYP,Cyprus,hdi,2021,0.896
CZE,Czechia,hdi,2021,0.889
DEU,Germany,hdi,2021,0.942
DNK,Denmark,hdi,2021,0.948
ESP,Spain,hdi,2021,0.905
EST,Estonia,hdi,2021,0.89
FIN,Finland,hdi,2021,0.94
FRA,France,hdi,2021,0.903
GBR,United Kingdom,hdi,2021,0.929
GRC,Greece,hdi,2021,0.887
HRV,Croatia,hdi,2021,0.858
HUN,Hungary,hdi,2021,0.846
IRL,Ireland,hdi,2021,0.945
ISL,Iceland,hdi,2021,0.959
ITA,Italy,hdi,2021,0.895
LTU,Lithuania,hdi,2021,0.875
LUX,Luxembourg,hdi,2021,0.93
LVA,Latvia,hdi,2021,0.863
MKD,North Macedonia,hdi,2021,0.77
MLT,Malta,hdi,2021,0.918
MNE,Montenegro,hdi,2021,0.832
NLD,Netherlands,hdi,2021,0.941
NOR,Norway,hdi,2021,0.961
POL,Poland,hdi,2021,0.876
PRT,Portugal,hdi,2021,0.866
ROU,Romania,hdi,2021,0.821
SRB,Serbia,hdi,2021,0.802
SVK,Slovakia,hdi,2021,0.848
SVN,Slovenia,hdi,2021,0.918
SWE,Sweden,hdi,2021,0.947
UKR,Ukraine,hdi,2021,0.773
