iso3,country_name,indicator,year,human_development_index
SWE,Sweden,hdi,2019,0.947
UKR,Ukraine,hdi,2019,0.786
ALB,Albania,hdi,2020,0.794
AUT,Austria,hdi,2020,0.913
BEL,Belgium,hdi,2020,0.928
BGR,Bulgaria,hdi,2020,0.802
BIH,Bosnia and Herzegovina,hdi,2020,0.781
CHE,Switzerland,hdi,2020,0.956
CYP,Cyprus,hdi,2020,0.894
CZE,Czechia,hdi,2020,0.892
DEU,Germany,hdi,2020,0.944
DNK,Denmark,hdi,2020,0.947
ESP,Spain,hdi,2020,0.899
EST,Estonia,hdi,2020,0.892
FIN,Finland,hdi,2020,0.938
FRA,France,hdi,2020,0.898
GBR,United Kingdom,hdi,2020,0.924
GRC,Greece,hdi,2020,0.886
HRV,Croatia,hdi,2020,0.855
HUN,Hungary,hdi,2020,0.849
IRL,Ireland,hdi,2020,0.943
ISL,Iceland,hdi,2020,0.957
ITA,Italy,hdi,2020,0.889
LTU,Lithuania,hdi,2020,0.879
LUX,Luxembourg,hdi,2020,0.924
LVA,Latvia,hdi,2020,0.871
MKD,North Macedonia,hdi,2020,0.774
MLT,Malta,hdi,2020,0.911
MNE,Montenegro,hdi,2020,0.826
NLD,Netherlands,hdi,2020,0.939
NOR,Norway,hdi,2020,0.959
POL,Poland,hdi,2020,0.876
PRT,Portugal,hdi,2020,0.863
ROU,Romania,hdi,2020,0.824
SRB,Serbia,hdi,2020,0.804
SVK,Slovakia,hdi,2020,0.857
SVN,Slovenia,hdi,2020,0.913
SWE,Sweden,hdi,2020,0.942
UKR,Ukraine,hdi,2020,0.775
ALB,Albania,hdi,2021,0.796
AUT,Austria,hdi,2021,0.916
BEL,Belgium,hdi,2021,0.937
BGR,Bulgaria,hdi,2021,0.795
BIH,Bosnia and Herzegovina,hdi,2021,0.78
CHE,Switzerland,hdi,2021,0.962
CYP,Cyprus,hdi,2021,0.896
CZE,Czechia,hdi,2021,0.889
DEU,Germany,hdi,2021,0.942
DNK,Denmark,hdi,2021,0.948
ESP,Spain,hdi,2021,0.905
EST,Estonia,hdi,2021,0.89
FIN,Finland,hdi,2021,0.94
FRA,France,hdi,2021,0.903
GBR,United Kingdom,hdi,2021,0.929
GRC,Greece,hdi,2021,0.887
HRV,Croatia,hdi,2021,0.858
HUN,Hungary,hdi,2021,0.846
IRL,Ireland,hdi,2021,0.945
ISL,Iceland,hdi,2021,0.959
ITA,Italy,hdi,2021,0.895
LTU,Lithuania,hdi,2021,0.875
LUX,Luxembourg,hdi,2021,0.93
LVA,Latvia,hdi,2021,0.863
MKD,North Macedonia,hdi,2021,0.77
MLT,Malta,hdi,2021,0.918
MNE,Montenegro,hdi,2021,0.832
NLD,Netherlands,hdi,2021,0.941
NOR,Norway,hdi,2021,0.961
POL,Poland,hdi,2021,0.876
PRT,Portugal,hdi,2021,0.866
ROU,Romania,hdi,2021,0.821
SRB,Serbia,hdi,2021,0.802
SVK,Slovakia,hdi,2021,0.848
SVN,Slovenia,hdi,2021,0.918
SWE,Sweden,hdi,2021,0.947
UKR,Ukraine,hdi,2021,0.773
ALB,Albania,le,2015,78.6441
AUT,Austria,le,2015,81.1594
BEL,Belgium,le,2015,80.8898
BGR,Bulgaria,le,2015,74.6325
BIH,Bosnia and Herzegovina,le,2015,76.1819
CHE,Switzerland,le,2015,82.8468
CYP,Cyprus,le,2015,80.9665
CZE,Czechia,le,2015,78.58
DEU,Germany,le,2015,80.5742
DNK,Denmark,le,2015,80.738
ESP,Spain,le,2015,82.6464
EST,Estonia,le,2015,77.6563
FIN,Finland,le,2015,81.4178
FRA,France,le,2015,82.1857
GBR,United Kingdom,le,2015,80.9238
GRC,Greece,le,2015,80.6676
HRV,Croatia,le,2015,77.5599
HUN,Hungary,le,2015,75.6517
IRL,Ireland,le,2015,81.4163
ISL,Iceland,le,2015,82.3508
ITA,Italy,le,2015,82.5255
LTU,Lithuania,le,2015,74.6103
LUX,Luxembourg,le,2015,81.8384
LVA,Latvia,le,2015,74.6854
MKD,North Macedonia,le,2015,75.9814
MLT,Malta,le,2015,82.9621
MNE,Montenegro,le,2015,76.7561
NLD,Netherlands,le,2015,81.4821
NOR,Norway,le,2015,82.2718
POL,Poland,le,2015,77.4151
PRT,Portugal,le,2015,81.2093
ROU,Romania,le,2015,74.7901
SRB,Serbia,le,2015,75.8172
SVK,Slovakia,le,2015,76.6493
SVN,Slovenia,le,2015,80.8218
SWE,Sweden,le,2015,82.1834
UKR,Ukraine,le,2015,73.4581
ALB,Albania,le,2016,78.8602
AUT,Austria,le,2016,81.5925
BEL,Belgium,le,2016,81.2661
BGR,Bulgaria,le,2016,74.8336
BIH,Bosnia and Herzegovina,le,2016,76.8083
CHE,Switzerland,le,2016,83.4452
CYP,Cyprus,le,2016,81.0563
CZE,Czechia,le,2016,78.9967
DEU,Germany,le,2016,80.8471
DNK,Denmark,le,2016,80.8803
ESP,Spain,le,2016,83.0411
EST,Estonia,le,2016,77.8201
FIN,Finland,le,2016,81.2915
FRA,France,le,2016,82.4372
GBR,United Kingdom,le,2016,81.0747
GRC,Greece,le,2016,81.1617
HRV,Croatia,le,2016,78.2314
HUN,Hungary,le,2016,76.1552
IRL,Ireland,le,2016,81.5498
ISL,Iceland,le,2016,82.03
ITA,Italy,le,2016,83.0492
LTU,Lithuania,le,2016,74.8816
LUX,Luxembourg,le,2016,82.0535
LVA,Latvia,le,2016,74.7535
MKD,North Macedonia,le,2016,76.0296
MLT,Malta,le,2016,83.1107
MNE,Montenegro,le,2016,76.7462
NLD,Netherlands,le,2016,81.547
NOR,Norway,le,2016,82.4147
POL,Poland,le,2016,77.8025
PRT,Portugal,le,2016,81.2324
ROU,Romania,le,2016,75.2458
SRB,Serbia,le,2016,76.2609
SVK,Slovakia,le,2016,77.2146
SVN,Slovenia,le,2016,81.1577
SWE,Sweden,le,2016,82.3391
UKR,Ukraine,le,2016,74.3121
ALB,Albania,le,2017,79.0473
AUT,Austria,le,2017,81.6391
BEL,Belgium,le,2017,81.3618
BGR,Bulgaria,le,2017,74.7992
BIH,Bosnia and Herzegovina,le,2017,76.9349
CHE,Switzerland,le,2017,83.4125
CYP,Cyprus,le,2017,81.328
CZE,Czechia,le,2017,78.9557
DEU,Germany,le,2017,80.9442
DNK,Denmark,le,2017,81.1112
ESP,Spain,le,2017,83.0295
EST,Estonia,le,2017,77.976
FIN,Finland,le,2017,81.4976
FRA,France,le,2017,82.4732
GBR,United Kingdom,le,2017,81.1684
GRC,Greece,le,2017,80.8501
HRV,Croatia,le,2017,78.0832
HUN,Hungary,le,2017,76.0055
IRL,Ireland,le,2017,81.9168
ISL,Iceland,le,2017,82.5352
ITA,Italy,le,2017,82.7282
LTU,Lithuania,le,2017,75.4399
LUX,Luxembourg,le,2017,81.734
LVA,Latvia,le,2017,74.8054
MKD,North Macedonia,le,2017,76.4766
MLT,Malta,le,2017,83.5867
MNE,Montenegro,le,2017,76.9388
NLD,Netherlands,le,2017,81.7291
NOR,Norway,le,2017,82.624
POL,Poland,le,2017,77.7205
PRT,Portugal,le,2017,81.498
ROU,Romania,le,2017,75.9519
SRB,Serbia,le,2017,76.213
SVK,Slovakia,le,2017,77.219
SVN,Slovenia,le,2017,81.0714
SWE,Sweden,le,2017,82.4382
UKR,Ukraine,le,2017,74.7181
ALB,Albania,le,2018,79.1838
AUT,Austria,le,2018,81.6862
BEL,Belgium,le,2018,81.4787
BGR,Bulgaria,le,2018,74.8983
BIH,Bosnia and Herzegovina,le,2018,77.0926
CHE,Switzerland,le,2018,83.5615
CYP,Cyprus,le,2018,81.382
CZE,Czechia,le,2018,79.0039
DEU,Germany,le,2018,81.1717
DNK,Denmark,le,2018,80.99
ESP,Spain,le,2018,83.1436
EST,Estonia,le,2018,78.1395
FIN,Finland,le,2018,81.6266
FRA,France,le,2018,82.5909
GBR,United Kingdom,le,2018,81.1254
GRC,Greece,le,2018,81.3907
HRV,Croatia,le,2018,78.337
HUN,Hungary,le,2018,76.2039
IRL,Ireland,le,2018,82.0863
ISL,Iceland,le,2018,82.7703
ITA,Italy,le,2018,83.1847
LTU,Lithuania,le,2018,75.6767
LUX,Luxembourg,le,2018,81.8035
LVA,Latvia,le,2018,75.0012
MKD,North Macedonia,le,2018,77.3142
MLT,Malta,le,2018,83.3448
MNE,Montenegro,le,2018,77.1595
NLD,Netherlands,le,2018,81.7741
NOR,Norway,le,2018,82.7605
POL,Poland,le,2018,77.6282
PRT,Portugal,le,2018,81.3947
ROU,Romania,le,2018,76.1546
SRB,Serbia,le,2018,76.5115
SVK,Slovakia,le,2018,77.264
SVN,Slovenia,le,2018,81.3581
SWE,Sweden,le,2018,82.5326
UKR,Ukraine,le,2018,74.4122
ALB,Albania,le,2019,79.2825
AUT,Austria,le,2019,81.9077
BEL,Belgium,le,2019,81.8311
BGR,Bulgaria,le,2019,75.0624
BIH,Bosnia and Herzegovina,le,2019,77.2412
CHE,Switzerland,le,2019,83.7802
CYP,Cyprus,le,2019,81.397
CZE,Czechia,le,2019,79.2433
DEU,Germany,le,2019,81.5584
DNK,Denmark,le,2019,81.4337
ESP,Spain,le,2019,83.5321
EST,Estonia,le,2019,78.6693
FIN,Finland,le,2019,81.8706
FRA,France,le,2019,82.7315
GBR,United Kingdom,le,2019,81.725
GRC,Greece,le,2019,81.2489
HRV,Croatia,le,2019,78.7376
HUN,Hungary,le,2019,76.4543
IRL,Ireland,le,2019,82.2586
ISL,Iceland,le,2019,82.4042
ITA,Italy,le,2019,83.552
LTU,Lithuania,le,2019,76.2119
LUX,Luxembourg,le,2019,82.1434
LVA,Latvia,le,2019,75.5337
MKD,North Macedonia,le,2019,77.2928
MLT,Malta,le,2019,83.2065
MNE,Montenegro,le,2019,77.0396
NLD,Netherlands,le,2019,82.0455
NOR,Norway,le,2019,82.9552
POL,Poland,le,2019,77.9272
PRT,Portugal,le,2019,81.7007
ROU,Romania,le,2019,76.5079
SRB,Serbia,le,2019,76.704
SVK,Slovakia,le,2019,77.6851
SVN,Slovenia,le,2019,81.6042
SWE,Sweden,le,2019,83.0524
UKR,Ukraine,le,2019,74.5364
ALB,Albania,le,2020,76.9893
AUT,Austria,le,2020,81.5036
BEL,Belgium,le,2020,80.7884
BGR,Bulgaria,le,2020,73.6453
BIH,Bosnia and Herzegovina,le,2020,76.2254
CHE,Switzerland,le,2020,83.067
CYP,Cyprus,le,2020,81.3905
CZE,Czechia,le,2020,78.5746
DEU,Germany,le,2020,81.1472
DNK,Denmark,le,2020,81.5449
ESP,Spain,le,2020,82.2892
EST,Estonia,le,2020,78.3431
FIN,Finland,le,2020,81.8657
FRA,France,le,2020,82.2104
GBR,United Kingdom,le,2020,80.4345
GRC,Greece,le,2020,80.9092
HRV,Croatia,le,2020,77.9845
HUN,Hungary,le,2020,75.7297
IRL,Ireland,le,2020,82.4699
ISL,Iceland,le,2020,82.5755
ITA,Italy,le,2020,82.3953
LTU,Lithuania,le,2020,75.0676
LUX,Luxembourg,le,2020,81.4335
LVA,Latvia,le,2020,75.4526
MKD,North Macedonia,le,2020,75.1677
MLT,Malta,le,2020,83.3545
MNE,Montenegro,le,2020,76.2575
NLD,Netherlands,le,2020,81.6381
NOR,Norway,le,2020,83.1951
POL,Poland,le,2020,76.9424
PRT,Portugal,le,2020,81.0545
ROU,Romania,le,2020,75.3456
SRB,Serbia,le,2020,75.4057
SVK,Slovakia,le,2020,77.0054
SVN,Slovenia,le,2020,80.4409
SWE,Sweden,le,2020,82.4274
UKR,Ukraine,le,2020,72.5726
ALB,Albania,le,2021,76.4626
AUT,Austria,le,2021,81.5797
BEL,Belgium,le,2021,81.8787
BGR,Bulgaria,le,2021,71.798
BIH,Bosnia and Herzegovina,le,2021,75.3003
CHE,Switzerland,le,2021,83.9872
CYP,Cyprus,le,2021,81.2033
CZE,Czechia,le,2021,77.7283
DEU,Germany,le,2021,80.6301
DNK,Denmark,le,2021,81.3753
ESP,Spain,le,2021,83.01
EST,Estonia,le,2021,77.1436
FIN,Finland,le,2021,82.0381
FRA,France,le,2021,82.4988
GBR,United Kingdom,le,2021,80.7422
GRC,Greece,le,2021,80.1106
HRV,Croatia,le,2021,77.5804
HUN,Hungary,le,2021,74.5301
IRL,Ireland,le,2021,81.9976
ISL,Iceland,le,2021,82.6782
ITA,Italy,le,2021,82.8502
LTU,Lithuania,le,2021,73.7201
LUX,Luxembourg,le,2021,82.6287
LVA,Latvia,le,2021,73.5786
MKD,North Macedonia,le,2021,73.8415
MLT,Malta,le,2021,83.7769
MNE,Montenegro,le,2021,76.3426
NLD,Netherlands,le,2021,81.6873
NOR,Norway,le,2021,83.2339
POL,Poland,le,2021,76.4572
PRT,Portugal,le,2021,81.0443
ROU,Romania,le,2021,74.1847
SRB,Serbia,le,2021,74.1923
SVK,Slovakia,le,2021,74.9101
SVN,Slovenia,le,2021,80.6904
SWE,Sweden,le,2021,82.9833
UKR,Ukraine,le,2021,71.624
ALB,Albania,eys,2015,15.07629967
AUT,Austria,eys,2015,15.95141029
BEL,Belgium,eys,2015,19.76292038
BGR,Bulgaria,eys,2015,14.94668007
BIH,Bosnia and Herzegovina,eys,2015,13.94284
CHE,Switzerland,eys,2015,16.19400978
CYP,Cyprus,eys,2015,14.57015038
CZE,Czechia,eys,2015,16.8604393
DEU,Germany,eys,2015,16.78933907
DNK,Denmark,eys,2015,19.23700905
ESP,Spain,eys,2015,17.47447014
EST,Estonia,eys,2015,16.11494064
FIN,Finland,eys,2015,19.31862068
FRA,France,eys,2015,15.42269993
GBR,United Kingdom,eys,2015,17.32865906
GRC,Greece,eys,2015,18.26951504
HRV,Croatia,eys,2015,15.22484016
HUN,Hungary,eys,2015,15.21959972
IRL,Ireland,eys,2015,18.70903015
ISL,Iceland,eys,2015,19.34770012
ITA,Italy,eys,2015,16.03336906
LTU,Lithuania,eys,2015,16.4450798
LUX,Luxembourg,eys,2015,14.06476974
LVA,Latvia,eys,2015,15.83139992
MKD,North Macedonia,eys,2015,13.32861996
MLT,Malta,eys,2015,15.70611954
MNE,Montenegro,eys,2015,14.92640305
NLD,Netherlands,eys,2015,18.08009911
NOR,Norway,eys,2015,17.78388977
POL,Poland,eys,2015,16.01518949
PRT,Portugal,eys,2015,16.44728088
ROU,Romania,eys,2015,14.63422012
SRB,Serbia,eys,2015,14.55158043
SVK,Slovakia,eys,2015,14.67733955
SVN,Slovenia,eys,2015,17.29199028
SWE,Sweden,eys,2015,18.5685997
UKR,Ukraine,eys,2015,14.88242753
ALB,Albania,eys,2016,14.80459976
AUT,Austria,eys,2016,16.08119011
BEL,Belgium,eys,2016,19.69990921
BGR,Bulgaria,eys,2016,14.64490986
BIH,Bosnia and Herzegovina,eys,2016,13.86522667
CHE,Switzerland,eys,2016,16.24938011
CYP,Cyprus,eys,2016,14.74003983
CZE,Czechia,eys,2016,16.83116913
DEU,Germany,eys,2016,16.87524033
DNK,Denmark,eys,2016,19.06605911
ESP,Spain,eys,2016,17.54027939
EST,Estonia,eys,2016,16.06361961
FIN,Finland,eys,2016,19.31543922
FRA,France,eys,2016,15.52842999
GBR,United Kingdom,eys,2016,17.41354465
GRC,Greece,eys,2016,18.64052963
HRV,Croatia,eys,2016,15.18770027
HUN,Hungary,eys,2016,15.11898041
IRL,Ireland,eys,2016,18.79326057
ISL,Iceland,eys,2016,19.17450905
ITA,Italy,eys,2016,15.97875977
LTU,Lithuania,eys,2016,16.49953079
LUX,Luxembourg,eys,2016,14.22751999
LVA,Latvia,eys,2016,15.98268986
MKD,North Macedonia,eys,2016,13.45691013
MLT,Malta,eys,2016,15.84722996
MNE,Montenegro,eys,2016,14.89723969
NLD,Netherlands,eys,2016,18.04483032
NOR,Norway,eys,2016,17.96912956
POL,Poland,eys,2016,16.04790942
PRT,Portugal,eys,2016,16.37409019
ROU,Romania,eys,2016,14.32149029
SRB,Serbia,eys,2016,14.64188004
SVK,Slovakia,eys,2016,14.53180027
SVN,Slovenia,eys,2016,17.5005703
SWE,Sweden,eys,2016,18.83242989
UKR,Ukraine,eys,2016,14.90092826
ALB,Albania,eys,2017,14.81612968
AUT,Austria,eys,2017,16.09206963
BEL,Belgium,eys,2017,19.77437973
BGR,Bulgaria,eys,2017,14.41442013
BIH,Bosnia and Herzegovina,eys,2017,13.78761333
CHE,Switzerland,eys,2017,16.32843971
CYP,Cyprus,eys,2017,15.16886997
CZE,Czechia,eys,2017,16.78511047
DEU,Germany,eys,2017,16.97719002
DNK,Denmark,eys,2017,18.89341927
ESP,Spain,eys,2017,17.61613083
EST,Estonia,eys,2017,15.9211998
FIN,Finland,eys,2017,19.39711952
FRA,France,eys,2017,15.64560032
GBR,United Kingdom,eys,2017,17.49843025
GRC,Greece,eys,2017,19.10166931
HRV,Croatia,eys,2017,15.22671986
HUN,Hungary,eys,2017,15.20417976
IRL,Ireland,eys,2017,18.70528984
ISL,Iceland,eys,2017,19.08308983
ITA,Italy,eys,2017,16.08889961
LTU,Lithuania,eys,2017,16.63731003
LUX,Luxembourg,eys,2017,14.25582027
LVA,Latvia,eys,2017,16.16769028
MKD,North Macedonia,eys,2017,13.58520031
MLT,Malta,eys,2017,16.10407066
MNE,Montenegro,eys,2017,15.02132034
NLD,Netherlands,eys,2017,18.48513031
NOR,Norway,eys,2017,18.06615067
POL,Poland,eys,2017,16.08062935
PRT,Portugal,eys,2017,16.53578949
ROU,Romania,eys,2017,14.25988007
SRB,Serbia,eys,2017,14.76615047
SVK,Slovakia,eys,2017,14.48703957
SVN,Slovenia,eys,2017,17.57205963
SWE,Sweden,eys,2017,19.48233986
UKR,Ukraine,eys,2017,14.91945198
ALB,Albania,eys,2018,14.69561958
AUT,Austria,eys,2018,16.06674957
BEL,Belgium,eys,2018,19.5610199
BGR,Bulgaria,eys,2018,14.19587994
BIH,Bosnia and Herzegovina,eys,2018,13.78761333
CHE,Switzerland,eys,2018,16.41327095
CYP,Cyprus,eys,2018,15.35606003
CZE,Czechia,eys,2018,16.23899078
DEU,Germany,eys,2018,16.93209076
DNK,Denmark,eys,2018,18.79369926
ESP,Spain,eys,2018,17.75741005
EST,Estonia,eys,2018,15.91049004
FIN,Finland,eys,2018,19.47599983
FRA,France,eys,2018,15.74300957
GBR,United Kingdom,eys,2018,17.24805069
GRC,Greece,eys,2018,19.50020027
HRV,Croatia,eys,2018,15.18179035
HUN,Hungary,eys,2018,15.12946033
IRL,Ireland,eys,2018,19.75616074
ISL,Iceland,eys,2018,19.17563057
ITA,Italy,eys,2018,16.17503929
LTU,Lithuania,eys,2018,16.56925011
LUX,Luxembourg,eys,2018,14.31532001
LVA,Latvia,eys,2018,16.23089027
MKD,North Macedonia,eys,2018,13.50732994
MLT,Malta,eys,2018,16.58428001
MNE,Montenegro,eys,2018,14.99967957
NLD,Netherlands,eys,2018,18.5599308
NOR,Norway,eys,2018,18.12005043
POL,Poland,eys,2018,16.02598953
PRT,Portugal,eys,2018,16.72011948
ROU,Romania,eys,2018,14.27499962
SRB,Serbia,eys,2018,14.73746967
SVK,Slovakia,eys,2018,14.48058033
SVN,Slovenia,eys,2018,17.59638023
SWE,Sweden,eys,2018,19.69101906
UKR,Ukraine,eys,2018,14.93799873
ALB,Albania,eys,2019,14.81892014
AUT,Austria,eys,2019,16.00795937
BEL,Belgium,eys,2019,19.60421944
BGR,Bulgaria,eys,2019,13.89729023
BIH,Bosnia and Herzegovina,eys,2019,13.8
CHE,Switzerland,eys,2019,16.50029945
CYP,Cyprus,eys,2019,15.64826965
CZE,Czechia,eys,2019,16.21968079
DEU,Germany,eys,2019,17.01013947
DNK,Denmark,eys,2019,18.71479988
ESP,Spain,eys,2019,17.91690063
EST,Estonia,eys,2019,15.92895985
FIN,Finland,eys,2019,19.05192947
FRA,France,eys,2019,15.81206989
GBR,United Kingdom,eys,2019,17.30971909
GRC,Greece,eys,2019,20.02878952
HRV,Croatia,eys,2019,15.11209965
HUN,Hungary,eys,2019,15.0336281
IRL,Ireland,eys,2019,18.94522095
ISL,Iceland,eys,2019,19.16305923
ITA,Italy,eys,2019,16.22678947
LTU,Lithuania,eys,2019,16.28506088
LUX,Luxembourg,eys,2019,14.39813995
LVA,Latvia,eys,2019,16.20252991
MKD,North Macedonia,eys,2019,13.62443234
MLT,Malta,eys,2019,16.83856964
MNE,Montenegro,eys,2019,14.94519997
NLD,Netherlands,eys,2019,18.69316522
NOR,Norway,eys,2019,18.18519974
